INDEX_NUM,BLDG_NAME,ORD_ADDRESS,DAD_ADDRESS,SUBDIVISION,BLOCKNUM,LOTS,LANDMARK_NUM,ORD_YR,OAHP_5DV_NUM,NOTES,GLOBALID
22,Chamber of Commerce Building,1726 Champa St.,1726 Champa St.,East Denver,128,"9 through 11, inclusive",N/A,N/A,527,(2013 Tax Rebate Qual),{00000000-0000-0000-0000-000000000000}
27,Neusteter Co. Building,720-26 16th St.,716 - 750 16th St.,East Denver,139,"1 through 6, inclusive, and the east 20 feet 7",171,701-88,496,(2013 Tax Rebate Qual),{00000000-0000-0000-0000-000000000000}
20,American National Bank,818 17th St.,818 17th St. / 1661 Stout St.,East Denver,129,"28 through 32, inclusive",225,754-94,1727,aka Magnolia Hotel/Holtze  (2013 Tax Rebate Non-Qual - DURA),{00000000-0000-0000-0000-000000000000}
2,Tramway Building,1100-10 14th St. / 1101 13th St.,1100-10 14th St. / 1101 13th St.,East Denver,73,"17 through 32,  inclusive",216,329-84,140 and 1833,Ord 842-2001 corrected legal description  (2013 Tax Rebate Qual),{00000000-0000-0000-0000-000000000000}
37,Paramount Theater,1621-41 Glenarm Pl.,1621-1635 Glenarm Pl.,East Denver,174,"21 (except the southwesterly  1.112 feet) and 22 through 27, inclusive",175,616-88,190,Building on 2 parcels - 2 Owners  (2013 Tax Rebate Qual),{00000000-0000-0000-0000-000000000000}
5,Telephone Building,931 14th St.,931 14th St.,East Denver,106,"7 through 16,  inclusive",N/A,N/A,522,(2013 Tax Rebate Qual),{00000000-0000-0000-0000-000000000000}
17,A.T. Lewis and Son Department Store,1543 Stout St. / 800-16 16th St.,1543 Stout St. / 800 16th St.,East Denver,130,"27 through 32, inclusive",N/A,N/A,494,(2013 Tax Rebate Non-Qual - DURA),{00000000-0000-0000-0000-000000000000}
42,Brown Palace Hotel,321 17th St.,321 17th St.,East Denver,210,"all, plus out lot 4 and vacated  alley",178,284-89,110,(2013 Tax Rebate Qual),{00000000-0000-0000-0000-000000000000}
30,Equitable Building,730 17th St.,724-740 17th St. / 1660 Stout St.,East Denver,140,"1 through 8, inclusive",103,453-77,121,(2013 Tax Rebate Qual),{00000000-0000-0000-0000-000000000000}
13,Colorado National Bank Building,900-18 17th St.,918 17th St. / 1667 Stout St.,East Denver,108,"26 through 32,  inclusive",N/A,N/A,524,(2013 Tax Rebate Non-Qual - DURA),{00000000-0000-0000-0000-000000000000}
19,Boston Building,828 17th St.,826-830 17th St. / 1660-1690 Champa St.,East Denver,129,"1 through 4, inclusive",179,368-89,108,(2013 Tax Rebate Non-Qual - DURA),{00000000-0000-0000-0000-000000000000}
4,Auditorium Theater,920 14th St. / 1323 Champa St.,920 14th St. / 1375 Champa St.,East Denver,105,"1 through 7,  inclusive, and 26 through 32, inclusive",196,784-91,521,(2013 Tax Rebate Non-Qual - Tax Exempt),{00000000-0000-0000-0000-000000000000}
12,A.C. Foster Building / University Building,900-18 16th St.,900-18 16th St. / 1551-61 Champa St.,East Denver,107,"28 through 32,  inclusive",N/A,N/A,142 and 1912,(2013 Tax Rebate Qual),{00000000-0000-0000-0000-000000000000}
14,Railway Exchange Building,1717 Champa St. / 909 17th St.,1717 Champa St. / 909 17th St.,East Denver,109,"17 through 22,  inclusive",N/A,N/A,525 and 526,aka Hotel Monaco  (2013 Tax Rebate Qual),{00000000-0000-0000-0000-000000000000}
